StartDate,ShiftID,CashEarnings,CreditEarnings,GasExpense,TollExpense,STSRH,IMSRH,CashTrips,CreditTrips
1/5/2016,4,87.00,132.00,20.00,0.00,7.20,4.50,5,4
1/6/2016,4,146.90,121.00,10.00,0.00,11.00,6.60,13,9
1/7/2016,4,109.90,220.28,8.00,0.00,12.50,7.50,8,17
1/8/2016,4,114.10,283.69,10.00,5.54,9.00,5.40,7,11
1/9/2016,4,85.10,301.36,18.00,0.00,12.50,7.50,7,18
1/10/2016,4,161.70,112.62,14.00,0.00,12.00,7.80,14,9
1/12/2016,4,134.60,201.94,15.00,5.54,9.00,5.40,7,11
1/13/2016,4,106.60,152.96,9.00,0.00,12.00,7.50,7,8
1/14/2016,4,89.00,286.00,18.00,0.00,16.80,10.50,8,13
1/15/2016,4,86.60,241.48,15.00,0.00,9.50,6.00,7,13
1/21/2016,4,82.10,254.74,10.00,0.00,11.00,6.60,7,15
1/22/2016,4,108.28,411.40,17.00,17.78,7.50,4.50,4,11
1/25/2016,4,53.00,209.06,11.00,0.00,9.50,5.70,5,14
2/5/2016,4,11.80,86.35,0.00,0.00,3.00,1.80,1,5
2/10/2016,4,89.20,174.50,15.00,0.00,11.00,6.60,9,13
2/11/2016,4,110.20,217.00,14.00,0.00,11.50,6.90,9,14
2/12/2016,4,142.10,266.51,10.00,0.00,14.50,8.70,12,17
2/13/2016,4,76.60,248.11,12.00,0.00,11.50,6.90,7,16
2/14/2016,4,106.30,313.90,12.00,0.00,15.50,9.30,11,20
2/15/2016,4,48.00,292.74,10.00,0.00,10.00,6.00,5,15
2/16/2016,4,59.30,209.01,13.00,0.00,11.50,6.90,6,16
2/24/2016,4,77.30,254.05,11.00,5.54,11.00,6.60,6,16
2/25/2016,4,56.50,226.80,15.00,0.00,10.00,6.00,5,15
2/28/2016,4,74.30,234.20,12.00,0.00,8.50,5.10,6,11
2/29/2016,4,49.50,204.40,15.00,0.00,9.50,5.70,5,13
3/1/2016,4,77.80,228.69,10.00,5.54,9.50,5.70,6,13
3/2/2016,4,81.80,213.51,12.00,0.00,12.50,7.50,6,17
3/3/2016,4,93.20,234.75,9.00,0.00,11.50,6.90,9,14
3/4/2016,4,97.60,340.78,8.00,5.54,13.50,8.10,7,20
3/6/2016,4,62.10,217.85,15.00,0.00,11.50,6.90,7,15
3/12/2016,4,53.30,315.65,9.00,0.00,11.00,6.60,6,16
3/13/2016,4,94.00,171.30,10.00,0.00,9.50,5.70,5,13
3/14/2016,4,97.70,197.18,14.00,0.00,11.00,6.60,9,13
3/17/2016,4,103.80,228.87,14.00,0.00,11.00,6.60,6,16
3/20/2016,4,88.10,223.54,11.00,5.54,10.00,6.30,7,14
3/21/2016,4,83.40,135.47,7.00,0.00,8.00,4.80,8,8
3/22/2016,4,63.60,292.00,12.00,10.50,9.00,5.70,7,12
3/30/2016,4,55.50,229.55,15.00,0.00,9.50,5.70,5,14
3/31/2016,4,104.80,212.20,13.00,0.00,9.50,6.00,6,13
4/3/2016,4,164.08,236.56,14.00,16.62,11.50,6.90,10,12
4/4/2016,4,64.00,310.04,10.00,5.54,10.00,6.00,5,15
4/5/2016,4,128.10,189.45,15.00,0.00,9.50,5.70,7,12
4/6/2016,4,72.60,238.59,16.00,5.54,11.00,6.60,7,15
4/16/2016,4,94.00,305.65,20.00,0.00,14.00,8.40,5,22
4/17/2016,4,98.20,157.65,20.00,0.00,10.00,6.00,9,10
4/18/2016,4,84.60,270.95,12.00,0.00,11.00,6.60,7,15
4/26/2016,4,132.40,132.60,10.00,0.00,8.50,5.10,8,8
4/27/2016,4,75.30,192.56,17.00,0.00,8.00,5.10,6,11
