StartDate,ShiftID,CashEarnings,CreditEarnings,GasExpense,TollExpense,STSRH,IMSRH,CashTrips,CreditTrips
1/3/2017,4,32.90,176.96,15.00,0.00,6.50,3.90,3,10
1/4/2017,4,104.20,280.89,17.00,0.00,14.00,8.40,9,19
1/11/2017,4,59.50,276.51,19.00,0.00,12.00,7.20,5,18
1/12/2017,4,59.80,331.80,20.00,0.00,14.00,8.40,6,22
1/13/2017,4,102.70,332.33,25.00,0.00,15.50,9.30,9,22
1/18/2017,4,84.90,306.98,19.00,10.50,11.00,6.60,8,14
1/19/2017,4,64.30,261.30,10.00,5.54,10.50,6.30,6,14
1/20/2017,4,84.30,321.25,24.00,5.54,15.00,9.00,6,24
1/26/2017,4,53.00,258.15,15.00,0.00,10.50,6.30,5,16
1/27/2017,4,106.50,267.45,21.00,0.00,12.50,7.50,10,15
